R2,66.04,13.97,180.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,161.29,2.54,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,90.17,62.23,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,149.86,44.45,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,149.86,46.99,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,109.22,40.64,0.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,68.58,11.43,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,71.12,16.51,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,31.75,46.99,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,38.10,29.21,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,35.56,29.21,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,33.02,29.21,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,72.39,33.02,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.53,106.60,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,25.40,106.68,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,88.90,52.07,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.96,106.68,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,74.93,33.02,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.72,106.68,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,160.03,7.62,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,66.04,11.43,0.00,,SJ
TP1,104.14,2.02,0.00,TPTP20R,TP20R
TP10,83.82,100.33,0.00,TPTP20R,TP20R
TP11,100.33,2.02,0.00,TPTP20R,TP20R
TP12,78.74,100.33,0.00,TPTP20R,TP20R
TP13,5.08,6.35,0.00,TPTP20R,TP20R
TP14,4.56,10.16,0.00,TPTP20R,TP20R
TP15,5.08,13.97,0.00,TPTP20R,TP20R
TP16,58.42,2.54,0.00,TPTP20R,TP20R
TP17,62.23,2.54,0.00,TPTP20R,TP20R
TP2,66.04,2.54,0.00,TPTP20R,TP20R
TP3,107.95,2.02,0.00,TPTP20R,TP20R
TP4,8.89,6.35,0.00,TPTP20R,TP20R
TP5,12.70,6.35,0.00,TPTP20R,TP20R
TP6,111.76,2.02,0.00,TPTP20R,TP20R
TP7,146.05,64.77,0.00,TPTP20R,TP20R
TP8,146.05,60.96,0.00,TPTP20R,TP20R
TP9,88.90,100.33,0.00,TPTP20R,TP20R
U1,35.56,54.61,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.15,54.61,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,81.28,57.15,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,130.81,43.18,0.00,MAX17048G+T10,SON50P200X200X80-9N
